Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
959,"Albany Technical College Anthony O. Parker, Ph.D. Library/Media Center",http://web.archive.org/web/20200327193652/https://www.albanytech.edu/campus-life/library-media-services,2020-03-27,"academic library at Albany Technical College, Albany, Georgia, USA",,library,http://web.archive.org/web/20200327193652/https://www.albanytech.edu/campus-life/library-media-services,2020-03-27,"1704 South Slappey Boulevard, Albany, GA 31701",http://web.archive.org/web/20200327202605/https://www.albanytech.edu/about/visiting-atc/contact-us,2020-03-27,Albany,http://web.archive.org/web/20200327202605/https://www.albanytech.edu/about/visiting-atc/contact-us,2020-03-27,Dougherty,https://geocoder.maplarge.com/Geocoder,2020-03-27,Georgia,http://web.archive.org/web/20200327202605/https://www.albanytech.edu/about/visiting-atc/contact-us,2020-03-27,United States,http://web.archive.org/web/20200327202605/https://www.albanytech.edu/about/visiting-atc/contact-us,2020-03-27,"31.555789, -84.174224",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-229-430-1745,http://web.archive.org/web/20200327202605/https://www.albanytech.edu/about/visiting-atc/contact-us,2020-03-27,mailto:rcalhoun@albanytech.edu,http://web.archive.org/web/20200327193652/https://www.albanytech.edu/campus-life/library-media-services,2020-03-27,https://www.albanytech.edu/campus-life/library-media-services,http://web.archive.org/web/20200327193652/https://www.albanytech.edu/campus-life/library-media-services,2020-03-27,,,,"","","",,,,,,,,,,,,,,,,"","",
1017,Atlanta Technical College Library,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-03-27,"academic library at Atlanta Technical College, Atlanta, Georgia, USA",,"library ",http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-03-30,"1560 Metropolitan Parkway Southwest, Atlanta, GA 30310-4446",http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-04-01,Atlanta,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-04-01,Fulton,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-03-31,United States,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-04-01,"33.71211,-84.404507",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-404-225-4595,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-04-01,mailto:library@atlantatech.edu,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-04-01,https://atlantatech.edu/student-services/campus-resources/library/,http://web.archive.org/web/20200330142833/https://atlantatech.edu/student-services/college-and-community-resources/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1058,Augusta Technical College Library,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-03-27,"academic library at Augusta Technical College, Augusta, Georgia, USA",,library,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-03-30,"3200 Augusta Tech Drive, Augusta, GA 30906",http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-04-01,Augusta,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-04-01,Richmond,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-03-31,United States,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-04-01,"33.418555,-82.04574",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-706-771-4000,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-04-01,,,,https://www.augustatech.edu/community-and-business/library.cms,http://web.archive.org/web/20200330142928/https://www.augustatech.edu/community-and-business/library.cms,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1060,Central Georgia Technical College Library,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-03-27,"academic library at Central Georgia Technical College, Warner Robins, Georgia, USA",,library,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-03-30,"80 Cohen Walker Drive, A Building, Room 108, Warner Robins, GA 31088",http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-04-01,Warner Robins,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-04-01,Houston,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-03-31,United States,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-04-01,"32.580403,-83.653003",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-478-988-6863,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-04-01,mailto:library@centralgatech.edu,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-04-01,https://www.centralgatech.edu/library,http://web.archive.org/web/20200330143022/https://www.centralgatech.edu/library,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1153,Chattahoochee Technical College Marietta Library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-27,"academic library at Chattahoochee Technical College, Marietta, Georgia, USA",Marietta Library,library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-30,"980 South Cobb Drive, Marietta, GA 30060",http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Marietta,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Cobb,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-31,United States,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"33.928818,-84.551169",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-770-528-4545,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,https://www.chattahoocheetech.edu/library/,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1242,Chattahoochee Technical College Jasper Library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-27,"academic library at Chattahoochee Technical College, Jasper, Georgia, USA",Appalachian Library,library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-30,"100 Campus Drive, Jasper, GA 30143",http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Jasper,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Pickens,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-31,United States,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"34.474189,-84.426321",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-770-528-4545,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,https://www.chattahoocheetech.edu/library/,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1243,Chattahoochee Technical College Canton Library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-27,"academic library at Chattahoochee Technical College, Canton, Georgia, USA",Canton Library,library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-30,"1645 Bluffs Parkway, Canton, GA 30114",http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Canton,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"Cherokee ",https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-31,United States,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"34.288193,-84.465618",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-770-528-4545,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,https://www.chattahoocheetech.edu/library/,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1244,Chattahoochee Technical College Mountain View Library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-27,"academic library at Chattahoochee Technical College, Marietta, Georgia, USA",Mountain View Library,library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-30,"2680 Gordy Parkway, Marietta, GA 30066",http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Marietta,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Cobb,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-31,United States,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"34.032986,-84.467291",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-770-528-4545,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,https://www.chattahoocheetech.edu/library/,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1245,Chattahoochee Technical College North Metro Library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-27,"academic library at Chattahoochee Technical College, Acworth, Georgia, USA",North Metro Library,library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-30,"5198 Ross Road, Acworth, GA 30102",http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Acworth,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Cherokee,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-31,United States,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"34.082968,-84.670396",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-770-528-4545,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,https://www.chattahoocheetech.edu/library/,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
1246,Chattahoochee Technical College Paulding Library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-27,"academic library at Chattahoochee Technical College, Dallas, Georgia, USA",Paulding Library,library,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-30,"400 Nathan Dean Boulevard, Dallas, GA 30132",http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Dallas,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,Paulding,https://geocoder.maplarge.com/Geocoder,2020-04-01,Georgia,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-03-31,United States,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,"33.910627,-84.826266",https://geocoder.maplarge.com/Geocoder,2020-04-02,+1-770-528-4545,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,https://www.chattahoocheetech.edu/library/,http://web.archive.org/web/20200330143153/https://www.chattahoocheetech.edu/library/,2020-04-01,,,,"","","",,,,,,,,,,,,,,,,"","",
